group_name,group_id,survey_name,survey_id,status_code
FSC Survey Review,GR_eWIkhIqGs6oYlHT,Actua Youth STEM Landcamp Participant Survey,SV_eQDV2NHs9MP58Lb,200
FSC Survey Review,GR_eWIkhIqGs6oYlHT,Actua Youth STEM Landcamp Participant Survey,SV_eQDV2NHs9MP58Lb,200
FSC Survey Review,GR_eWIkhIqGs6oYlHT,FSC_0.0.1_ADaPT_2.0_s01_Intake,SV_43nVQXc8uMcH3JY,401
FSC Survey Review,GR_eWIkhIqGs6oYlHT,FSC_0.0.1_ADaPT_2.0_s01_Intake,SV_43nVQXc8uMcH3JY,401
FSC Survey Review,GR_eWIkhIqGs6oYlHT,FSC_0.0.1_ADaPT_2.0_s02_Exit,SV_6fCitYzc8FNwow6,401
FSC Survey Review,GR_eWIkhIqGs6oYlHT,FSC_0.0.1_ADaPT_2.0_s02_Exit,SV_6fCitYzc8FNwow6,401
FSC Survey Review,GR_eWIkhIqGs6oYlHT,FSC_0.0.1_ADaPT_2.0_s03_Follow-up_3mon,SV_bKERWKDmfKvtvPU,401
FSC Survey Review,GR_eWIkhIqGs6oYlHT,FSC_0.0.1_ADaPT_2.0_s03_Follow-up_3mon,SV_bKERWKDmfKvtvPU,401
FSC Survey Review,GR_eWIkhIqGs6oYlHT,FSC_0.0.1_ADaPT_2.0_s04_Follow-up_9mon,SV_ehfjZMG4XKfazJ4,401
FSC Survey Review,GR_eWIkhIqGs6oYlHT,FSC_0.0.1_ADaPT_2.0_s04_Follow-up_9mon,SV_ehfjZMG4XKfazJ4,401
FSC Survey Review,GR_eWIkhIqGs6oYlHT,FSC_0.0.1_ADaPT_s01_Intake,SV_6xSsyujgMQYZT2R,401
FSC Survey Review,GR_eWIkhIqGs6oYlHT,FSC_0.0.1_ADaPT_s01_Intake,SV_6xSsyujgMQYZT2R,401
FSC Survey Review,GR_eWIkhIqGs6oYlHT,FSC_0.0.1_ADaPT_s02_Exit,SV_9nrohRYONeMknzL,401
FSC Survey Review,GR_eWIkhIqGs6oYlHT,FSC_0.0.1_ADaPT_s02_Exit,SV_9nrohRYONeMknzL,401
FSC Survey Review,GR_eWIkhIqGs6oYlHT,FSC_0.0.1_ADaPT_s03_Follow-up_3mon,SV_eMcIQjWpQLFz2jH,401
FSC Survey Review,GR_eWIkhIqGs6oYlHT,FSC_0.0.1_ADaPT_s03_Follow-up_3mon,SV_eMcIQjWpQLFz2jH,401
FSC Survey Review,GR_eWIkhIqGs6oYlHT,FSC_0.0.1_ADaPT_s04_Follow-up_9mon,SV_722ofraQZJvdR41,401
FSC Survey Review,GR_eWIkhIqGs6oYlHT,FSC_0.0.1_ADaPT_s04_Follow-up_9mon,SV_722ofraQZJvdR41,401
FSC Survey Review,GR_eWIkhIqGs6oYlHT,FSC_0.0.1_ADaPT_s1.1_Interview_Confidence_pre,SV_bjxfAHg3tMyODpc,401
FSC Survey Review,GR_eWIkhIqGs6oYlHT,FSC_0.0.1_ADaPT_s1.1_Interview_Confidence_pre,SV_bjxfAHg3tMyODpc,401
FSC Survey Review,GR_eWIkhIqGs6oYlHT,FSC_0.0.1_ADaPT_s1.2_Interview_Confidence_post,SV_78IpKCJysYymOq2,401
FSC Survey Review,GR_eWIkhIqGs6oYlHT,FSC_0.0.1_ADaPT_s1.2_Interview_Confidence_post,SV_78IpKCJysYymOq2,401
FSC Survey Review,GR_eWIkhIqGs6oYlHT,FSC_0.0.2_ADaPT_2.0_s01_Intake,SV_eDUADWYt5HiyCpg,401
FSC Survey Review,GR_eWIkhIqGs6oYlHT,FSC_0.0.2_ADaPT_2.0_s01_Intake,SV_eDUADWYt5HiyCpg,401
FSC Survey Review,GR_eWIkhIqGs6oYlHT,FSC_0.0.2_ADaPT_2.0_s01_Intake_RCT,SV_e5qC1lQvNYShLhA,401
FSC Survey Review,GR_eWIkhIqGs6oYlHT,FSC_0.0.2_ADaPT_2.0_s01_Intake_RCT,SV_e5qC1lQvNYShLhA,401
FSC Survey Review,GR_eWIkhIqGs6oYlHT,FSC_0.0.2_ADaPT_2.0_s02_Exit,SV_2aFbtmwjhfb58j4,401
FSC Survey Review,GR_eWIkhIqGs6oYlHT,FSC_0.0.2_ADaPT_2.0_s02_Exit,SV_2aFbtmwjhfb58j4,401
FSC Survey Review,GR_eWIkhIqGs6oYlHT,FSC_0.0.2_ADaPT_2.0_s02_Exit_RCT,SV_5v9nNcrXPvCSWhg,401
FSC Survey Review,GR_eWIkhIqGs6oYlHT,FSC_0.0.2_ADaPT_2.0_s02_Exit_RCT,SV_5v9nNcrXPvCSWhg,401
FSC Survey Review,GR_eWIkhIqGs6oYlHT,ADaPT 1 Partner Interview Consent Form,SV_9HSFNOoX5b4YDMq,401
FSC Survey Review,GR_eWIkhIqGs6oYlHT,ADaPT 1 Partner Interview Consent Form,SV_9HSFNOoX5b4YDMq,401
FSC Survey Review,GR_eWIkhIqGs6oYlHT,ADaPT Interview Scheduling,SV_d9XOxQC4LaapWMl,401
FSC Survey Review,GR_eWIkhIqGs6oYlHT,ADaPT Interview Scheduling,SV_d9XOxQC4LaapWMl,401
